Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1975.1.23,False,True,458963,Robert Lehman Collection,Painting,"Madonna and Child Enthroned with Saint John the Evangelist, Saint Peter, Saint Agnes, Saint Catherine of Alexandria, Saint Lucy, an Unidentified Female Saint, Saint Paul, and Saint John the Baptist, with Eve and the Serpent; the Annunciation",,,,,,Artist,,Paolo di Giovanni Fei,"Italian, San Quirico, active by 1369–died 1411",,"Fei, Paolo di Giovanni",Italian,1369      ,1411      ,ca. 1385–90,1382,1393,"Tempera on wood, gold ground","Overall, with engaged frame, 34 1/4 x 23 1/4 in. (87 x 59.1 cm); painted surface 27 7/8 x 17 1/4 in. (70.8 x 43.8 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458963,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.24,False,True,458964,Robert Lehman Collection,Painting,Madonna and Child Enthroned with Two Donors,,,,,,Artist,,Goodhart Ducciesque Master,"Italian, Siena, active ca. 1315–30",,Goodhart Ducciesque Master,Italian,1310      ,1330      ,1315–30,1315,1330,"Tempera on wood, gold ground","Overall, with engaged frame, 20 3/4 x 11 3/4 in. (52.7 x 29.8 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458964,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.25,False,True,458965,Robert Lehman Collection,Painting,Crucifix,,,,,,Artist,Attributed to,Giovanni Antonio da Pesaro,"Italian, active Marches 1437–d. 1475",,"da Pesaro, Giovanni Antonio","Italian, active Marches",1437      ,1475      ,ca. 1450,1445,1455,"Tempera on wood, gold ground","Overall, excluding peg at base, 15 5/8 x 13 7/8 in. (39.7 x 35.2 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458965,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.26,False,True,458966,Robert Lehman Collection,Painting,The Annunciation,,,,,,Artist,,Sassetta (Stefano di Giovanni),"Italian, Siena or Cortona ca. 1400–1450 Siena",,Sassetta (Stefano di Giovanni),Italian,1400      ,1450      ,ca. 1435,1432,1438,"Tempera on wood, gold ground","Overall, with engaged (modern) frame, 30 x 17 1/8 in. (76.2 x 43.5 cm); painted surface 28 3/4 x 16 1/8 in. (73 x 41 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458966,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.27,True,True,458967,Robert Lehman Collection,Painting,Saint Anthony the Abbot in the Wilderness,,,,,,Artist,,Osservanza Master,"Italian, Siena, active second quarter 15th century",,Osservanza Master,Italian,1425      ,1450      ,ca. 1435,1432,1438,Tempera and gold on wood,Overall 18 3/4 x 13 5/8 in. (47.6 x 34.6 cm); painted surface 18 1/2 x 13 1/4 in. (47 x 33.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458967,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.29,False,True,458969,Robert Lehman Collection,Pinnacle,The Virgin Annunciate,,,,,,Artist,,Andrea Delitio,"Italian, Abruzzo, active ca. 1440–80",,"Delitio, Andrea",Italian,1435      ,1485      ,possibly 1445–50,1440,1455,Tempera and gold on wood,"Overall, with engaged frame, 19 1/2 x 12 in. (49.5 x 30.5 cm); painted surface 16 1/8 x 9 1/2 in. (41 x 24.1 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458969,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.30,False,True,458970,Robert Lehman Collection,Painting,Saint Ambrose,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,1465–70,1465,1470,"Tempera on wood, gold ground",23 7/8 x 14 1/2 in. (60.6 x 36.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458970,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.31,True,True,458971,Robert Lehman Collection,Painting,The Creation of the World and the Expulsion from Paradise,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,1445,1445,1445,Tempera and gold on wood,18 1/4 x 20 1/2 in. (46.4 x 52.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458971,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.32,False,True,458972,Robert Lehman Collection,Painting,Madonna and Child with Saints Jerome and Agnes,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1465,1462,1468,"Tempera on wood, gold ground",12 5/8 x 9 3/4 in. (32.1 x 24.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458972,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.33,False,True,458973,Robert Lehman Collection,Painting,Saint Catherine of Siena Beseeching Christ to Resuscitate Her Mother,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1447–65,1443,1468,Tempera and gold on wood,11 x 8 5/8 in. (27.9 x 21.9 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458973,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.34,False,True,458974,Robert Lehman Collection,Painting,Saint Catherine of Siena Receiving the Stigmata,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1447–65,1443,1468,Tempera and gold on wood,11 x 7 7/8 in. (27.9 x 20 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458974,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.35,False,True,458975,Robert Lehman Collection,Painting,The Exultation of Saint Nicholas of Tolentino,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1450,1447,1453,"Tempera on wood, gold ground","Overall, with engaged frame, 19 1/8 x 14 1/4 in. (48.6 x 36.2 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458975,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.36,False,True,458976,Robert Lehman Collection,Painting,Saint John the Evangelist Raises Drusiana,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1460,1457,1463,Tempera and gold on wood,9 3/8 x 8 7/8 in. (23.8 x 22.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458976,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.37,True,True,458977,Robert Lehman Collection,Painting,The Annunciation to Zacharias; (verso) The Angel of the Annunciation,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1455–60,1452,1463,Tempera and gold on wood,29 7/8 x 17 in. (75.9 x 43.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458977,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.38,True,True,458978,Robert Lehman Collection,Painting,Coronation of the Virgin,,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,ca. 1455,1452,1458,"Tempera on wood, gold ground","Shaped top, 70 5/8 x 51 3/4 in. (179.4 x 131.4 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458978,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.39,False,True,458979,Robert Lehman Collection,Painting,Madonna and Child,,,,,,Artist,Workshop of,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,ca. 1448–60,1445,1463,"Tempera on wood, gold ground",Overall 24 7/8 x 17 5/8 in. (63.2 x 44.8 cm); painted surface 21 5/8 x 14 1/8 in. (54.9 x 35.9 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458979,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.40,False,True,458980,Robert Lehman Collection,Painting,Madonna and Child,,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,mid-15th century,1436,1470,"Tempera on wood, gold ground","Overall, with engaged (modern) frame, diameter 7 in. (17.8 cm); painted surface, diameter 5 in. (12.7 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458980,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.41,False,True,458981,Robert Lehman Collection,Painting,Madonna and Child Enthroned with Two Cherubim,"Italian, Siena",,,,,Artist,,Osservanza Master,"Italian, Siena, active second quarter 15th century",,Osservanza Master,Italian,1425      ,1450      ,1435–40,1435,1440,"Tempera on wood, gold ground",56 1/2 x 27 3/8 in. (143.5 x 69.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458981,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.42,False,True,458982,Robert Lehman Collection,Painting,"Madonna and Child with Saints Jerome, Bernardino, John the Baptist, and Anthony of Padua and Two Angels",,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,ca. 1465–70,1462,1473,"Tempera on wood, gold ground","Overall, with engaged frame, 29 1/8 x 20 3/8 in. (74 x 51.8 cm); painted surface 24 3/8 x 15 5/8 in. (61.9 x 39.7 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458982,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.43,False,True,458983,Robert Lehman Collection,Painting,"Madonna and Child with Saints John the Baptist, Jerome, Peter Martyr, and Bernardino and Four Angels",,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,ca. 1425–before ca. 1467,1422,1470,"Tempera on wood, gold ground","Overall, with engaged (not original) frame, 28 1/8 x 22 1/8 in. (71.4 x 56.2 cm); painted surface 24 3/4 x 18 5/8 in. (62.9 x 47.3 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458983,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.44,False,True,458984,Robert Lehman Collection,Predella panel,The Birth and Naming of Saint John the Baptist,,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,1450–60,1450,1460,Tempera and gold on wood,"Overall, with engaged (modern) frame, 9 5/8 x 18 7/8 in. (24.4 x 47.9 cm); painted surface 8 1/8 x 16 7/8 in. (20.6 x 42.9 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458984,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.45,False,True,458985,Robert Lehman Collection,Painting,Saint Bernardino,,,,,,Artist,Workshop of,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,ca. 1460–70,1457,1473,Tempera and gold on wood (panel: 20 mm thick with vertical grain; cut along all four sides),7 x 4 1/8 in. (17.8 x 10.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458985,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.46,False,True,458986,Robert Lehman Collection,Painting,Saint Bernardino,,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,1450–60,1447,1463,"Tempera on wood, gold ground",9 1/2 x 8 3/4 in. (24.1 x 22.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458986,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.47,False,False,458987,Robert Lehman Collection,Painting,Saints Cosmas and Damian and Their Brothers before the Proconsul Lycias,Italian,,,,,Artist,Style of,Icilio Federico Ioni,"Italian, Siena 1866–1946 Siena",,"Ioni, Icilio Federico",Italian,1866      ,1946      ,"15th century style, made in the late 19th to early 20th century",1875,1950,Tempera and gold on wood,Overall 10 5/8 x 15 3/4 in. (27 x 40 cm); painted surface 10 3/8 x 12 in. (26.4 x 30.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458987,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.48,False,False,458988,Robert Lehman Collection,Painting,Saints Cosmas and Damian and Their Brothers Saved by an Angel After They Have Been Condemned to Death by Drowning,Italian,,,,,Artist,Style of,Icilio Federico Ioni,"Italian, Siena 1866–1946 Siena",,"Ioni, Icilio Federico",Italian,1866      ,1946      ,"15th century style, made in the late 19th to early 20th century",1880,1925,Tempera and gold on wood,Overall 10 5/8 x 16 1/8 in. (27 x 41 cm); painted surface 10 3/8 x 12 1/8 in. (26.4 x 30.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458988,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.49,False,False,458989,Robert Lehman Collection,Painting,The Stoning of Saints Cosmas and Damian,Italian,,,,,Artist,Style of,Icilio Federico Ioni,"Italian, Siena 1866–1946 Siena",,"Ioni, Icilio Federico",Italian,1866      ,1946      ,"15th century style, made in the late 19th to early 20th century",1880,1925,Tempera and gold on wood,Overall 10 5/8 x 16 in. (27 x 40.6 cm); painted surface 10 3/8 x 12 1/8 in. (26.4 x 30.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458989,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.50,False,True,458990,Robert Lehman Collection,Painting,Saint Francis,,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,1450s,1450,1459,"Tempera on wood, gold ground",9 1/2 x 8 3/4 in. (24.1 x 22.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458990,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.51,False,True,458991,Robert Lehman Collection,Painting,Madonna and Child,,,,,,Artist,,Sano di Pietro (Ansano di Pietro di Mencio),"Italian, Siena 1405–1481 Siena",,Sano di Pietro (Ansano di Pietro di Mencio),Italian,1405      ,1481      ,about 1450,1425,1475,"Tempera on wood, gold ground","Overall, with engaged frame, 16 3/8 x 12 1/8 in. (41.6 x 30.8 cm); painted surface 13 1/8 x 9 in. (33.3 x 22.9 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458991,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.52,False,True,458992,Robert Lehman Collection,Painting,Madonna and Child with Saints Francis and Catherine of Siena,,,,,,Artist,,Matteo di Giovanni di Bartolo,"Italian, Siena ca. 1430–1497 Siena",,Matteo di Giovanni di Bartolo,Italian,1430      ,1497      ,about 1476–80,1451,1505,"Tempera on wood, gold ground",25 3/4 x 16 7/8 in. (65.4 x 42.9 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458992,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.53,False,True,458993,Robert Lehman Collection,Painting,Saint Bernardino,,,,,,Artist,,Benvenuto di Giovanni,"Italian, Siena 1436–after 1518 Siena",,Benvenuto di Giovanni,Italian,1436      ,1518      ,possibly 1474,1469,1479,"Tempera on wood, gold ground, pastiglia garland of fruit",9 3/8 x 10 1/8 in. (23.8 x 25.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458993,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.54,True,True,458994,Robert Lehman Collection,Painting,Madonna and Child,,,,,,Artist,,Benvenuto di Giovanni,"Italian, Siena 1436–after 1518 Siena",,Benvenuto di Giovanni,Italian,1436      ,1518      ,ca. 1470,1467,1473,"Tempera on wood, gold ground",Overall 27 3/4 x 18 1/8 in. (70.5 x 46 cm); painted surface 24 1/4 x 14 3/4 in. (61.6 x 37.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458994,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.55,False,True,458995,Robert Lehman Collection,Painting,The Blessed Andrea Gallerani (died 1251),,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,1447–65,1447,1465,"Tempera on wood, gold ground","Overall, with engaged frame, 20 1/4 x 7 in. (51.4 x 17.8 cm); painted surface 19 x 4 7/8 in. (48.3 x 12.4 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458995,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.56,False,True,458996,Robert Lehman Collection,Painting,The Blessed Ambrogio Sansedoni (1220–1286),,,,,,Artist,,Giovanni di Paolo (Giovanni di Paolo di Grazia),"Italian, Siena 1398–1482 Siena",,Giovanni di Paolo (Giovanni di Paolo di Grazia),Italian,1398      ,1482      ,1447–65,1447,1465,"Tempera on wood, gold ground","Overall, with engaged frame, 20 5/8 x 7 in. (52.4 x 17.8 cm); painted surface 19 1/4 x 4 7/8 in. (48.9 x 12.4 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458996,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
